DR_NO,Date Rptd,DATE OCC,TIME OCC,AREANAME,Rpt Dist No,crime type,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status,Status Desc,LOCATION,Cross Street,Latitude,Longitude
200810825,6/18/2020 0:00,6/15/2020 0:00,1700,West LA,833,burglary,0,X,X,multi-unit dwelling ,,IC,Invest Cont,1400 veteran av,,34.0538,-118.4443
200315293,8/5/2020 0:00,8/4/2020 0:00,1930,Southwest,337,vehicle - stolen,0,,,street,,IC,Invest Cont,30th st,LA SALLE,34.0273,-118.3053
200315436,8/8/2020 0:00,8/7/2020 0:00,2200,Southwest,375,vehicle - stolen,0,,,street,,IC,Invest Cont,1800 w martin luther king jr bl,,34.0146,-118.313
200716365,11/25/2020 0:00,11/25/2020 0:00,1040,Wilshire,788,theft plain - petty ,54,M,H,street,,IC,Invest Cont,washington bl,12TH                         AV,34.0399,-118.3276
200717538,12/26/2020 0:00,12/23/2020 0:00,930,Wilshire,763,intimate partner - simple assault,25,M,B,garage/carport,strong-arm ,AO,Adult Other,1400 ellsmere av,,34.0495,-118.3606
200817865,12/23/2020 0:00,12/23/2020 0:00,1420,West LA,882,burglary from vehicle,32,F,W,parking lot,unknown weapon/other weapon,IC,Invest Cont,11200 w olympic bl,,34.039,-118.44
200111599,5/12/2020 0:00,5/11/2020 0:00,2130,Central,143,"assault with deadly weapon, aggravated assault",64,M,H,mta bus,knife with blade 6inches or less,AA,Adult Arrest,5th,HILL,34.0488,-118.2518
201010113,6/17/2020 0:00,6/17/2020 0:00,905,West Valley,1099,battery - simple assault,54,M,W,street,strong-arm ,AO,Adult Other,16000 valley wood rd,,34.1361,-118.4815
200911425,6/23/2020 0:00,6/22/2020 0:00,1937,Van Nuys,984,burglary,50,M,A,office building/office,,IC,Invest Cont,14700 w ventura bl,,34.1517,-118.4531
200318429,10/6/2020 0:00,9/29/2020 0:00,1430,Southwest,307,"bunco, grand theft",51,F,B,single family dwelling,,IC,Invest Cont,4400 w adams bl,,34.0338,-118.337
200808004,4/5/2020 0:00,4/4/2020 0:00,2235,West LA,849,robbery,28,M,W,single family dwelling,hand gun,IC,Invest Cont,1200 s la cienega bl,,34.0583,-118.3799
200715752,11/1/2020 0:00,11/1/2020 0:00,1200,Wilshire,727,burglary from vehicle,35,M,W,street,,IC,Invest Cont,100 n orange dr,,34.0736,-118.3419
200817270,12/6/2020 0:00,12/5/2020 0:00,1230,West LA,811,theft of identity,38,F,H,parking lot,,IC,Invest Cont,500 los liones dr,,34.046,-118.5593
200815891,10/30/2020 0:00,10/30/2020 0:00,1200,West LA,824,battery - simple assault,0,M,X,other business,rock/thrown object,IC,Invest Cont,14800 pacific coast hy,,34.043,-118.5078
200710316,6/11/2020 0:00,6/8/2020 0:00,800,Wilshire,706,theft plain - petty ,46,M,O,gas station,,IC,Invest Cont,6600 w melrose av,,34.0835,-118.3386
200319033,10/16/2020 0:00,10/13/2020 0:00,1900,Southwest,317,burglary from vehicle,39,M,B,street,,IC,Invest Cont,2500 s catalina st,,34.0328,-118.2942
200904991,1/24/2020 0:00,1/22/2020 0:00,800,Van Nuys,935,vandalism - felony ,40,M,O,parking lot,,IC,Invest Cont,van nuys,BESSEMER,34.181,-118.4487
201109775,5/22/2020 0:00,5/22/2020 0:00,2300,Northeast,1161,robbery,38,F,O,mta bus,other knife,IC,Invest Cont,santa monica bl,NORMANDIE                    AV,34.0908,-118.3005
200608251,3/22/2020 0:00,3/19/2020 0:00,330,Hollywood,669,vandalism - felony ,46,M,W,street,,IC,Invest Cont,5300 la mirada av,,34.094,-118.3046
200710168,6/7/2020 0:00,5/31/2020 0:00,1200,Wilshire,783,burglary,56,F,B,single family dwelling,,IC,Invest Cont,2100 hauser bl,,34.0381,-118.3608
200411517,8/6/2020 0:00,8/6/2020 0:00,2045,Hollenbeck,497,"bunco, petty theft",34,M,H,sidewalk,,IC,Invest Cont,olympic bl,ORME                         AV,34.0234,-118.2177
201008668,5/4/2020 0:00,5/4/2020 0:00,1020,West Valley,1011,theft from motor vehicle - petty ,0,M,W,street,,IC,Invest Cont,sherman wy,SHIRLEY                      AV,34.2012,-118.5579
200115941,8/6/2020 0:00,8/5/2020 0:00,1700,Central,111,"rape, forcible",19,F,B,street,strong-arm ,IC,Invest Cont,arcadia st,LOS ANGELES                  ST,34.0553,-118.2392
200315336,8/6/2020 0:00,8/6/2020 0:00,55,Southwest,357,violation of court order,41,F,H,street,strong-arm ,IC,Invest Cont,1200 w 35th st,,34.0242,-118.2944
200616090,9/30/2020 0:00,9/30/2020 0:00,1100,Hollywood,659,trespassing,0,X,X,street,,IC,Invest Cont,5400 w sunset bl,,34.0981,-118.3074
200813299,8/24/2020 0:00,8/24/2020 0:00,205,West LA,881,"theft-grand excpt,guns,fowl,livestk,prod",0,X,X,street,,IC,Invest Cont,12300 w olympic bl,,34.0319,-118.4566
200319054,10/18/2020 0:00,10/18/2020 0:00,1,Southwest,363,vandalism - felony ,41,F,O,"vehicle, passenger/truck",,IC,Invest Cont,4100 marlton av,,34.0102,-118.3404
200315510,8/6/2020 0:00,8/6/2020 0:00,730,Southwest,362,criminal threats - no weapon displayed,12,M,H,multi-unit dwelling ,verbal threat,IC,Invest Cont,4600 rodeo ln,,34.0203,-118.3467
200613675,8/8/2020 0:00,8/3/2020 0:00,900,Hollywood,631,vehicle - stolen,0,,,street,,IC,Invest Cont,2100 sunset plaza dr,,34.0986,-118.388
200806085,2/16/2020 0:00,2/16/2020 0:00,1700,West LA,852,"assault with deadly weapon, aggravated assault",43,F,H,street,unknown weapon/other weapon,IC,Invest Cont,santa monica,STONER,34.0429,-118.4581
200411428,8/4/2020 0:00,8/4/2020 0:00,350,Hollenbeck,478,battery - simple assault,28,F,H,other residence,strong-arm ,IC,Invest Cont,3400 percy st,,34.0277,-118.1979
200213310,8/3/2020 0:00,8/3/2020 0:00,1400,Rampart,235,brandish weapon,63,M,H,gas station,folding knife,IC,Invest Cont,2100 w temple st,,34.0703,-118.268
200614814,9/1/2020 0:00,9/1/2020 0:00,2225,Hollywood,656,battery - simple assault,23,M,H,street,strong-arm ,AO,Adult Other,6000 barton av,,34.088,-118.3258
